ID	Sex	DR	Vowel	Speaker
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	iy	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	ae	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABC0	M	6	aa	ABC0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	iy	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	ae	ABW0
ABW0	M	2	aa	ABW0
ABW0	M	2	aa	ABW0
ABW0	M	2	aa	ABW0
ABW0	M	2	aa	ABW0
ABW0	M	2	aa	ABW0
ABW0	M	2	aa	ABW0
ADC0	M	3	iy	ADC0
ADC0	M	3	iy	ADC0
ADC0	M	3	iy	ADC0
ADC0	M	3	iy	ADC0
ADC0	M	3	iy	ADC0
ADC0	M	3	iy	ADC0
