ID	Sex	DR	Phone	Context
CLT0	F	8	iy	sh_iy_hv
CLT0	F	8	iy	sh_iy_hv
CLT0	F	8	iy	sh_iy_hv
CLT0	F	8	iy	sh_iy_hv
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	z_iy_w
CLT0	F	8	iy	z_iy_w
CLT0	F	8	iy	z_iy_w
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	l_iy_r
CLT0	F	8	iy	l_iy_r
CLT0	F	8	iy	l_iy_r
CLT0	F	8	iy	l_iy_r
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	w_iy_dcl
CLT0	F	8	iy	w_iy_dcl
CLT0	F	8	iy	w_iy_dcl
CLT0	F	8	iy	w_iy_dcl
CLT0	F	8	iy	b_iy_ix
CLT0	F	8	iy	b_iy_ix
CLT0	F	8	iy	b_iy_ix
CLT0	F	8	iy	b_iy_ix
CLT0	F	8	iy	dx_iy_ix
CLT0	F	8	iy	dx_iy_ix
CLT0	F	8	iy	dx_iy_ix
CLT0	F	8	iy	dx_iy_ix
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	b_iy_pcl
CLT0	F	8	iy	b_iy_pcl
CLT0	F	8	iy	b_iy_pcl
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	uh	s_uh_bcl
CLT0	F	8	uh	s_uh_bcl
CLT0	F	8	uh	s_uh_bcl
CLT0	F	8	uh	s_uh_bcl
CLT0	F	8	uh	jh_uh_s
CLT0	F	8	uh	jh_uh_s
CLT0	F	8	uh	jh_uh_s
CLT0	F	8	uh	jh_uh_s
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	h#_sh_iy
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	k_s_ux
CLT0	F	8	s	aa_sh_epi
CLT0	F	8	s	aa_sh_epi
CLT0	F	8	s	aa_sh_epi
CLT0	F	8	s	aa_sh_epi
CLT0	F	8	s	aa_sh_epi
CLT0	F	8	s	ae_s_kcl
CLT0	F	8	s	ae_s_kcl
CLT0	F	8	s	ae_s_kcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ih_s_gcl
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	ax_s_ay
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	l_s_uh
CLT0	F	8	s	uh_s_th
CLT0	F	8	s	uh_s_th
CLT0	F	8	s	uh_s_th
CLT0	F	8	s	uh_s_th
CLT0	F	8	s	uh_s_th
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	tcl_s_tcl
CLT0	F	8	s	en_sh_r
CLT0	F	8	s	en_sh_r
CLT0	F	8	s	en_sh_r
CLT0	F	8	s	en_sh_r
CLT0	F	8	s	en_sh_r
CLT0	F	8	s	en_sh_r
